"id";"a";"b";"c";"d";"response";"question";"choice1";"choice2";"choice3";"choice4";"choice5"
"1";"1.3769451666205";"2.09989770686847";"0.137423871575816";"1";"4";"Qual ano a seleção brasileira ganhou a Copa América pela primeira vez?";"1916";"1925";"1922";"1919";"1921"
"2";"3.20427997043011";"0.452453473753332";"0.129844983798192";"1";"4";"Qual foi o primeiro clube do interior a levantar a taça de campeão brasileiro?";"Bragantino";"Bangú";"São Caetano";"Guarani de Campinas";"Botafogo de Ribeirão Preto"
"3";"0.906861351957547";"0.123925120261831";"0.0512125122564395";"1";"4";"Entre quais times ocorreu a final da Taça dos Campeões Europeus de 1984-85, onde aconteceu a chamada ""Tragédia de Heysel""?";"Liverpool e Barcelona";"Liverpool e Panathinaikos";"Juventus e Bordeaux";"Juventus e Liverpool";"Juventus e Barcelona"
"4";"1.27199581879614";"0.532173367603603";"0.0470067827896148";"1";"2";"Quem foi o técnico do Brasil na conquista da sua primeira copa do mundo em 1958 ?";"Zagallo";"Vicente Feola";"Zezé Moreira";"Aymoré Moreira";"Cláudio Coutinho"
"5";"1.03726004044819";"-0.620841939362348";"0.0573419924768742";"1";"4";"Quais são as cores do uniforme oficial do clube francês Paris Saint-Germain?";"vermelho, verde e branco";"azul, vermelho e preto";"azul, verde e branco";"azul, vermelho e branco";"vermelho, branco e preto"
"6";"2.28281530643781";"-0.235771673060978";"0.255155660724407";"1";"3";"Quem foi o técnico da seleção brasileira de futebol na Copa do Mundo da FIFA de 1994?";"Emerson Leão";"Luiz Felipe Scolari";"Carlos Alberto Parreira";"Vanderlei Luxemburgo";"Mário Jorge Zagallo"
"7";"1.75883409852308";"0.44628212690409";"0.18893188795073";"1";"1";"Quem foi o técnico Campeão da Copa de 1970 pelo Brasil?";"Mario Jorge Lobo Zagallo";"Carlos Alberto Parreira";"Telê Santana";"Aymoré Moreira";"João Saldanha"
"8";"2.31755197117721";"0.170866630800403";"0.253322282994619";"1";"4";"Qual foi a seleção anfitriã e campeã da Copa do Mundo de 1966?";"França";"Uruguai";"Portugal";"Inglaterra";"Hungria"
"9";"1.87710185134087";"0.251951525748165";"0.172904958496859";"1";"4";"Que ano o Atlético Paranaense foi campeão brasileiro?";"1991";"1999";"2000";"2001";"2002"
"10";"1.81528982757519";"0.0160478202685478";"0.245450424625329";"1";"3";"Qual o nome do treinador da seleção brasileira nas copas de 1982 e 1986?";"Zagalo";"Carlos Alberto Parreira";"Telê Santana";"Sebastião Lazaroni";"Edu Coimbra"
"11";"3.23479456226735";"-0.423311869118418";"0.275822043263056";"1";"2";"Qual seleção europeia também é conhecida como Azurra?";"França";"Itália";"Croácia";"Finlândia";"Inglaterra"
"12";"2.00155281993619";"0.0738490406565322";"0.108458832396883";"1";"4";"O time italiano Juventus Football Club, fundado em 1897 tem muitos títulos internacionais conquistados, Seu escudo tem três cores e é parecido com alguns escudos de times brasileiros. Além do dourado, quais são as outras duas cores que estão no escudo do time?";"Rosa e preto.";"Azul claro e branco.";"Vermelho e azul.";"Preto e branco.";"Azul e preto."
"13";"3.13644042500776";"0.814902807546494";"0.101995346698049";"1";"4";"Qual é o maior rival do clube Lazio da Itália?";"Juventus";"Milan";"Internazionale";"Roma";"Napoli"
"14";"1.17842439294217";"-0.191579123298739";"0.0208460422042473";"1";"4";"Qual é o mascote da seleção brasileira?";"Papagaio";"Tatu";"Tamanduá";"Canário";"Mico-leão-Dourado"
"15";"2.4378860142995";"0.00483944796625323";"0.0868450861772062";"1";"1";"O FC Porto tem dois grandes rivais conhecidos como Águia e Leão. Quem são eles, respectivamente?";"Benfica e Sporting";"Nacional e Marítimo";"Benfica e Nacional";"Sporting e Marítimo";"Benfica e Marítimo"
"16";"1.61278753650336";"2.10478420233961";"0.0447581393310954";"1";"5";"Contra quem a Seleção Holandesa jogou a final da Eurocopa de 1988?";"Alemanha Ocidental";"Itália";"Inglaterra";"Irlanda";"União Soviética"
"17";"2.24493995161348";"0.638335670921837";"0.164529458846043";"1";"2";"Em qual (quais) ano(s) o clube gaúcho Sport Club Internacional foi campeão da Taça libertadores da América?";"1995 / 1999 / 2008";"502/503";"2000 / 2004 / 2009";"2007";"663/667"
"18";"3.66097947604665";"0.142165327070398";"0.214666269379409";"1";"3";"No início de 2005, o técnico Vanderlei Luxemburgo deixou o Santos Futebol Clube para comandar um time europeu. Qual foi este time?";"O time alemão Bayern de Munique";"O time português Benfica";"O time espanhol Real Madrid";"O time francês Paris Saint-Germain";"O time holandês Ajax"
"19";"1.70616126792234";"0.491423586674962";"0.172857119801103";"1";"1";"Qual foi o único time a ser campeão com saldo negativo de gols no Campeonato Brasileiro?";"Coritiba";"Fluminense";"São Paulo";"Palmeiras";"Botafogo"
"20";"2.74311379504281";"-0.00684453063940973";"0.146261836221624";"1";"2";"Como é conhecido o time Manchester United Football Club da Inglaterra?";"'Mancha Vermelha'";"'Diabos Vermelhos'";"'Time Sangrento'";"'Vermelhos'";"'Sky reds'"
"21";"2.32661230434574";"-0.330761545689238";"0.0618610826101371";"1";"5";"Qual é o mascote do Internacional Sport Club do RS?";"Mosqueteiro";"Foca";"Jacaré";"Caveira";"Saci"
"22";"2.10957487643985";"0.965055593287803";"0.160305546393662";"1";"3";"Qual foi o primeiro clube brasileiro a acumular os títulos da Copa Libertadores da América, Copa Sul-americana, Mundial de Clubes, Copa do Brasil, Campeonato Brasileiro, Campeonato Estadual e Copa Suruga Bank?";"Grêmio Foot-Ball Porto Alegrense";"São Paulo Futebol Clube";"Sport Clube Internacional";"Sport Clube Corinthians Paulista";"Cruzeiro Esporte Clube"
"23";"1.16008081756813";"0.455993644225915";"0.0000162200991281959";"1";"1";"Qual o mascote do Avaí Futebol Clube de SC?";"Leão";"Raposa";"Peixe";"Trigre";"Águia"
"24";"1.60300621553158";"0.704983710863583";"0.14137540546734";"1";"3";"Qual a cor do uniforme do Everton Football Club da Inglaterra?";"Vermelho e amarelo";"Preto e Branco";"Azul e Branco";"Vermelho e Preto";"Azul e Amarelo"
"25";"1.62908151146772";"-0.0433439945285906";"0.0642479667855483";"1";"4";"Qual o mascote do Grêmio Porto Alegrense?";"Pirata";"Velho";"Cowboy";"Mosqueteiro";"Uma criança"
"26";"1.1614065834793";"-1.20565189722153";"0.0000917275655051915";"1";"3";"Quantas vezes a seleção da Alemanha conquistou a Copa do mundo?";"0";"2";"3";"1";"5"
